Customer ID,Marketing Date,Marketing Channel,Marketing Spend,Revenue Generated,Website Visits,Conversions,Email Sent,Email Opened,Email Clicked,Social Likes,Social Shares,Social Comments
CUST7347,2024-07-13,Direct,131.48,689.0,6373,426,4837,4392,3043,162,497,87
CUST4922,2024-09-18,Referral,165.63,586.58,4648,67,1139,1031,534,317,23,127
CUST3398,2024-02-12,Email,848.13,1937.86,3869,432,3365,1140,122,274,40,112
CUST7111,2024-04-19,Social Media,713.33,649.33,6242,383,2694,1047,86,252,450,142
CUST8916,2024-02-11,Direct,403.96,275.77,2987,207,3663,1733,1258,235,59,213
CUST1979,2024-08-21,Email,448.0,526.19,7578,378,4500,3905,409,274,405,134
CUST7000,2024-05-16,Search,416.31,1967.57,2477,102,2525,198,171,989,435,127
CUST6088,2024-03-10,Email,980.42,653.82,3861,278,4742,638,584,684,355,18
CUST4474,2024-01-27,Direct,754.72,1159.23,7657,48,1170,767,489,904,109,67
CUST9918,2024-07-08,Email,595.56,694.67,7784,429,4633,151,96,619,168,60
CUST8717,2024-02-29,Email,629.16,799.71,6003,299,4185,181,135,52,292,180
CUST2171,2024-10-14,Direct,714.96,1319.21,7083,206,2846,1419,1013,904,21,57
CUST8303,2024-08-07,Social Media,494.84,1191.76,5245,214,4687,782,678,88,443,144
CUST5495,2024-03-12,Email,581.24,1460.66,430,162,1814,64,47,13,433,72
CUST7764,2024-03-02,Social Media,521.61,1332.65,7579,493,188,128,41,529,192,299
CUST8468,2024-08-21,Email,159.04,1162.15,8430,147,4692,1704,72,978,66,222
CUST5457,2024-01-10,Search,601.79,732.96,611,477,4838,114,22,338,448,264
CUST4722,2024-07-27,Referral,206.51,1021.87,1432,346,3816,3198,1431,705,31,111
CUST7407,2024-08-14,Search,980.95,1592.81,1106,363,909,447,270,213,272,244
CUST2546,2024-12-23,Direct,848.63,899.73,7725,494,4255,3253,2595,352,151,94
CUST2395,2024-11-20,Search,594.7,1250.38,6747,476,906,409,121,701,276,145
CUST1027,2024-01-28,Referral,785.41,1616.99,6573,97,362,152,132,449,135,137
CUST3683,2024-08-05,Referral,151.51,1054.04,7278,459,2043,307,256,595,273,80
CUST2559,2024-08-02,Referral,414.85,348.13,7798,325,1958,1036,603,970,272,238
CUST2939,2024-03-27,Social Media,107.28,489.99,4965,91,3753,1857,329,595,152,266
CUST5748,2024-01-19,Direct,673.34,1533.56,7958,179,762,422,99,624,434,53
CUST4864,2024-05-19,Direct,586.65,1906.04,246,406,3025,1104,65,452,162,7
CUST4065,2024-03-10,Social Media,455.79,748.69,3047,244,4543,3764,2615,177,289,43
CUST5466,2024-08-29,Direct,526.72,477.58,2020,125,2020,1153,738,383,147,255
CUST3695,2024-11-07,Social Media,667.97,1909.78,7373,346,4568,515,342,118,161,258
CUST7439,2024-01-06,Referral,212.89,1869.53,9788,325,2147,1973,408,180,484,273
CUST8552,2024-04-16,Search,839.39,878.22,8433,29,1364,1149,638,233,291,223
CUST8237,2024-08-03,Email,236.97,1538.36,3578,450,3116,2494,2099,120,174,190
CUST5763,2024-04-30,Search,962.14,593.57,7563,405,4133,2255,95,659,155,165
CUST5226,2024-06-12,Social Media,375.02,592.1,8005,249,3999,550,68,138,85,279
CUST8480,2024-05-11,Social Media,963.22,542.51,4950,471,3158,2460,1531,868,215,174
CUST9975,2024-06-29,Social Media,566.16,1455.32,894,298,3320,776,148,332,379,117
CUST7550,2024-08-27,Social Media,357.9,1753.93,4812,287,3986,1801,1185,403,16,180
CUST4332,2024-12-26,Search,553.92,1686.49,6488,314,1236,493,169,733,387,259
CUST5189,2024-03-02,Referral,242.93,536.31,2590,391,3055,2369,1247,556,483,185
CUST2381,2024-02-19,Search,208.04,820.2,4375,147,2816,2353,222,228,388,270
CUST3989,2024-01-05,Referral,325.56,1306.89,956,378,1727,742,208,981,385,189
CUST4604,2024-07-13,Referral,872.55,809.61,183,465,4561,1491,947,97,340,10
