Customer ID,Product ID,Subscription Start Date,Subscription End Date,Monthly Subscription Fee,Invoice Date,Invoice Amount,Sales Target,Lead Status,Lead Created Date,First Response Date,Deal Value,Deal Closed Date,Marketing Spend,Sales Spend,Additional Purchase Date
C0001,P109,2023-09-22,2024-04-28,60,2023-09-27,56,2324,Converted,2023-09-14,2023-09-15 23:00:00,4628,2023-10-21,773,826,2024-07-08
C0002,P110,2023-05-23,,95,2023-06-22,97,3158,Converted,2023-05-15,2023-05-17 20:00:00,3343,2023-06-26,242,845,
C0003,P106,2023-08-26,2023-12-25,51,2023-08-27,56,1676,New,2023-07-30,2023-07-30 21:00:00,565,2023-10-03,546,808,2024-03-15
C0004,P104,2023-04-22,2024-04-19,41,2023-05-18,49,4303,Converted,2023-04-20,2023-04-21 04:00:00,3035,2023-05-11,603,868,2024-05-11
C0005,P106,2023-11-18,2024-11-12,38,2023-11-24,36,1500,Lost,2023-10-31,2023-11-02 23:00:00,3298,2023-12-15,305,491,
C0006,P110,2023-03-20,2023-10-22,22,2023-03-25,27,2499,New,2023-02-26,2023-02-26 11:00:00,1947,2023-04-30,521,708,
C0007,P109,2023-12-14,2024-01-29,83,2024-01-04,90,4578,Lost,2023-12-02,2023-12-02 12:00:00,3696,2023-12-23,423,865,
C0008,P105,2023-12-09,2024-01-23,38,2024-01-02,39,3159,Lost,2023-12-05,2023-12-05 18:00:00,3619,2024-01-10,495,511,2024-04-16
C0009,P106,2024-01-22,,53,2024-02-21,50,3220,New,2024-01-03,2024-01-03 22:00:00,3957,2024-02-29,601,761,
C0010,P101,2023-04-29,2023-08-07,36,2023-05-20,46,1371,Contacted,2023-04-03,2023-04-05 06:00:00,1107,2023-06-23,555,441,
C0011,P109,2023-10-18,2024-02-27,28,2023-11-15,25,1730,Contacted,2023-10-09,2023-10-11 04:00:00,2443,2023-10-31,267,551,2024-06-04
C0012,P104,2023-07-23,,46,2023-08-14,54,3216,Lost,2023-07-02,2023-07-03 17:00:00,2792,2023-08-03,397,496,
C0013,P100,2023-11-06,2024-06-20,45,2023-11-06,48,2389,Contacted,2023-10-16,2023-10-16 16:00:00,1521,2023-12-05,631,990,
C0014,P102,2023-01-21,2024-01-09,72,2023-02-08,72,4774,Lost,2023-01-08,2023-01-09 11:00:00,2776,2023-03-05,518,777,2024-02-26
C0015,P108,2023-12-15,2024-10-15,30,2024-01-09,39,4576,Lost,2023-12-09,2023-12-09 04:00:00,2868,2024-01-17,779,740,2025-01-23
C0016,P106,2023-11-26,2024-09-07,98,2023-12-22,106,2528,Lost,2023-11-19,2023-11-19 03:00:00,4531,2024-01-14,800,393,
C0017,P100,2023-10-17,2024-01-08,68,2023-10-24,67,1917,Lost,2023-09-25,2023-09-27 09:00:00,3355,2023-11-17,366,319,
C0018,P110,2023-01-08,,24,2023-01-12,21,3217,Converted,2022-12-17,2022-12-17 18:00:00,4921,2023-01-20,402,998,
C0019,P106,2023-11-02,2024-08-06,23,2023-11-10,21,1122,Lost,2023-10-12,2023-10-13 00:00:00,3377,2023-11-28,240,634,
C0020,P104,2024-01-30,2024-08-13,74,2024-01-30,84,1919,New,2024-01-05,2024-01-05 03:00:00,1177,2024-02-08,484,955,2024-09-15
C0021,P109,2023-04-22,,99,2023-05-11,97,3367,New,2023-03-29,2023-03-31 19:00:00,4611,2023-05-30,632,699,
C0022,P107,2023-03-08,2023-07-10,72,2023-03-08,80,1640,Contacted,2023-02-06,2023-02-08 22:00:00,2200,2023-03-14,355,484,2023-09-04
C0023,P104,2023-05-28,2023-08-20,48,2023-05-29,45,1743,New,2023-05-21,2023-05-23 11:00:00,4613,2023-07-21,269,706,2023-09-30
C0024,P110,2023-07-16,,47,2023-07-29,51,3127,New,2023-07-12,2023-07-14 19:00:00,4665,2023-08-13,476,795,
C0025,P102,2023-10-15,2024-03-27,34,2023-11-08,39,3185,Converted,2023-10-08,2023-10-09 14:00:00,1457,2023-11-14,649,495,
C0026,P102,2023-06-13,,58,2023-06-23,54,4292,Converted,2023-06-09,2023-06-11 00:00:00,633,2023-06-22,274,442,
C0027,P105,2023-08-17,2023-10-20,28,2023-09-14,37,4998,Lost,2023-07-24,2023-07-24 13:00:00,4419,2023-09-02,360,478,
C0028,P101,2023-08-15,,73,2023-09-14,79,2523,Contacted,2023-08-09,2023-08-09 14:00:00,2516,2023-09-12,539,590,
C0029,P109,2023-04-24,2024-03-25,88,2023-05-09,96,3850,New,2023-04-08,2023-04-09 21:00:00,3234,2023-05-26,525,358,
C0030,P100,2023-08-19,,25,2023-09-01,31,1121,Converted,2023-08-10,2023-08-10 20:00:00,3416,2023-09-16,634,516,
C0031,P105,2024-01-10,2024-04-01,59,2024-02-04,63,3287,Lost,2023-12-29,2023-12-29 22:00:00,4934,2024-02-19,509,487,2024-05-28
C0032,P102,2023-04-08,2024-01-07,78,2023-05-02,81,4998,Contacted,2023-03-30,2023-03-31 07:00:00,1672,2023-05-23,510,499,2024-01-24
C0033,P106,2023-09-16,2023-10-17,74,2023-10-08,69,3443,Lost,2023-09-06,2023-09-07 20:00:00,1498,2023-09-28,491,413,2024-01-19
C0034,P107,2024-01-25,2024-07-13,55,2024-02-23,56,1477,New,2024-01-16,2024-01-17 06:00:00,812,2024-02-04,596,717,2024-10-02
C0035,P110,2023-01-27,2023-11-08,34,2023-02-17,34,2674,Converted,2023-01-16,2023-01-17 05:00:00,4740,2023-02-03,534,741,
C0036,P100,2023-06-04,2023-10-07,78,2023-06-27,83,3807,Lost,2023-05-10,2023-05-12 08:00:00,3043,2023-06-26,785,665,
